"Statistic Label","Month","NACE Group","UNIT","VALUE"
"Retail Sales Index Volume Unadjusted","2023 October","Motor trades and automotive fuel (45,4730)","Base 2015=100","100.9"
"Retail Sales Index Volume Unadjusted","2023 October","All retail businesses, excluding motor trades and bars","Base 2015=100","125.7"
"Retail Sales Index Volume Unadjusted","2023 October","All retail businesses, excluding motor trades","Base 2015=100","123.7"
"Retail Sales Index Volume Unadjusted","2023 October","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","127.2"
"Retail Sales Index Volume Unadjusted","2023 October","Retail sale of food (4711,4721 to 4729)","Base 2015=100","124.7"
"Retail Sales Index Volume Unadjusted","2023 October","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","129.2"
"Retail Sales Index Volume Unadjusted","2023 October","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","118.3"
"Retail Sales Index Volume Unadjusted","2023 October","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","189.7"
"Retail Sales Index Volume Unadjusted","2023 October","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","209.5"
"Retail Sales Index Volume Unadjusted","2023 October","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","120.9"
"Retail Sales Index Volume Unadjusted","2023 October","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","75.9"
"Retail Sales Index Volume Unadjusted","2023 October","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","75.2"
"Retail Sales Index Volume Unadjusted","2023 October","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","81"
"Retail Sales Index Volume Unadjusted","2023 October","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","166.6"
"Retail Sales Index Volume Unadjusted","2023 November","Motor trades (45)","Base 2015=100","89.4"
"Retail Sales Index Volume Unadjusted","2023 November","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","133.9"
"Retail Sales Index Volume Unadjusted","2023 November","Department stores (4719)","Base 2015=100","121.5"
"Retail Sales Index Volume Unadjusted","2023 November","Retail sale of automotive fuel (4730)","Base 2015=100","103.3"
"Retail Sales Index Volume Unadjusted","2023 November","Retail sale of hardware, paints and glass (4752)","Base 2015=100","158.3"
"Retail Sales Index Volume Unadjusted","2023 November","Retail sale of furniture and lighting (4759)","Base 2015=100","220.2"
"Retail Sales Index Volume Unadjusted","2023 November","Bars (5630)","Base 2015=100","73.2"
"Retail Sales Index Volume Unadjusted","2023 November","All retail businesses","Base 2015=100","129.4"
"Retail Sales Index Volume Unadjusted","2023 November","Motor trades and automotive fuel (45,4730)","Base 2015=100","90.9"
"Retail Sales Index Volume Unadjusted","2023 November","All retail businesses, excluding motor trades and bars","Base 2015=100","152.6"
"Retail Sales Index Volume Unadjusted","2023 November","All retail businesses, excluding motor trades","Base 2015=100","147.5"
"Retail Sales Index Volume Unadjusted","2023 November","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","155.5"
"Retail Sales Index Volume Unadjusted","2023 November","Retail sale of food (4711,4721 to 4729)","Base 2015=100","131.3"
"Retail Sales Index Volume Unadjusted","2023 November","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","175.8"
"Retail Sales Index Volume Unadjusted","2023 November","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","110.5"
"Retail Sales Index Volume Unadjusted","2023 November","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","286.6"
"Retail Sales Index Volume Unadjusted","2023 November","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","384.5"
"Retail Sales Index Volume Unadjusted","2023 November","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","175.6"
"Retail Sales Index Volume Unadjusted","2023 November","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","109.9"
"Retail Sales Index Volume Unadjusted","2023 November","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","112"
"Retail Sales Index Volume Unadjusted","2023 November","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","94.7"
"Retail Sales Index Volume Unadjusted","2023 November","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","170.3"
"Retail Sales Index Volume Unadjusted","2023 December","Motor trades (45)","Base 2015=100","66.1"
"Retail Sales Index Volume Unadjusted","2023 December","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","154.7"
"Retail Sales Index Volume Unadjusted","2023 December","Department stores (4719)","Base 2015=100","191.5"
"Retail Sales Index Volume Unadjusted","2023 December","Retail sale of automotive fuel (4730)","Base 2015=100","101.3"
"Retail Sales Index Volume Unadjusted","2023 December","Retail sale of hardware, paints and glass (4752)","Base 2015=100","154.8"
"Retail Sales Index Volume Unadjusted","2023 December","Retail sale of furniture and lighting (4759)","Base 2015=100","182.8"
"Retail Sales Index Volume Unadjusted","2023 December","Bars (5630)","Base 2015=100","102.2"
"Retail Sales Index Volume Unadjusted","2023 December","All retail businesses","Base 2015=100","142.1"
"Retail Sales Index Volume Unadjusted","2023 December","Motor trades and automotive fuel (45,4730)","Base 2015=100","69.8"
"Retail Sales Index Volume Unadjusted","2023 December","All retail businesses, excluding motor trades and bars","Base 2015=100","181.5"
"Retail Sales Index Volume Unadjusted","2023 December","All retail businesses, excluding motor trades","Base 2015=100","176.5"
"Retail Sales Index Volume Unadjusted","2023 December","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","186.3"
"Retail Sales Index Volume Unadjusted","2023 December","Retail sale of food (4711,4721 to 4729)","Base 2015=100","154.6"
"Retail Sales Index Volume Unadjusted","2023 December","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","212.9"
"Retail Sales Index Volume Unadjusted","2023 December","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","153.6"
"Retail Sales Index Volume Unadjusted","2023 December","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","272.2"
"Retail Sales Index Volume Unadjusted","2023 December","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","373.4"
"Retail Sales Index Volume Unadjusted","2023 December","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","221.5"
"Retail Sales Index Volume Unadjusted","2023 December","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","167.4"
"Retail Sales Index Volume Unadjusted","2023 December","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","170.4"
"Retail Sales Index Volume Unadjusted","2023 December","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","145.5"
"Retail Sales Index Volume Unadjusted","2023 December","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","210.1"
"Retail Sales Index Volume Unadjusted","2024 January","Motor trades (45)","Base 2015=100","200.1"
"Retail Sales Index Volume Unadjusted","2024 January","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","117.2"
"Retail Sales Index Volume Unadjusted","2024 January","Department stores (4719)","Base 2015=100","72.9"
"Retail Sales Index Volume Unadjusted","2024 January","Retail sale of automotive fuel (4730)","Base 2015=100","96.7"
"Retail Sales Index Volume Unadjusted","2024 January","Retail sale of hardware, paints and glass (4752)","Base 2015=100","105.3"
"Retail Sales Index Volume Unadjusted","2024 January","Retail sale of furniture and lighting (4759)","Base 2015=100","209.3"
"Retail Sales Index Volume Unadjusted","2024 January","Bars (5630)","Base 2015=100","53.6"
"Retail Sales Index Volume Unadjusted","2024 January","All retail businesses","Base 2015=100","144.7"
"Retail Sales Index Volume Unadjusted","2024 January","Motor trades and automotive fuel (45,4730)","Base 2015=100","189.4"
"Retail Sales Index Volume Unadjusted","2024 January","All retail businesses, excluding motor trades and bars","Base 2015=100","124.2"
"Retail Sales Index Volume Unadjusted","2024 January","All retail businesses, excluding motor trades","Base 2015=100","119.7"
"Retail Sales Index Volume Unadjusted","2024 January","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","125.9"
"Retail Sales Index Volume Unadjusted","2024 January","Retail sale of food (4711,4721 to 4729)","Base 2015=100","114.7"
"Retail Sales Index Volume Unadjusted","2024 January","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","135.2"
"Retail Sales Index Volume Unadjusted","2024 January","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","95.4"
"Retail Sales Index Volume Unadjusted","2024 January","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","199.5"
"Retail Sales Index Volume Unadjusted","2024 January","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","247.8"
"Retail Sales Index Volume Unadjusted","2024 January","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","157.3"
"Retail Sales Index Volume Unadjusted","2024 January","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","95.3"
"Retail Sales Index Volume Unadjusted","2024 January","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","98.3"
"Retail Sales Index Volume Unadjusted","2024 January","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","73.8"
"Retail Sales Index Volume Unadjusted","2024 January","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","125.4"
"Retail Sales Index Volume Unadjusted","2024 February","Motor trades (45)","Base 2015=100","179.3"
"Retail Sales Index Volume Unadjusted","2024 February","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","130.1"
"Retail Sales Index Volume Unadjusted","2024 February","Department stores (4719)","Base 2015=100","64.8"
"Retail Sales Index Volume Unadjusted","2024 February","Retail sale of automotive fuel (4730)","Base 2015=100","104.6"
"Retail Sales Index Volume Unadjusted","2024 February","Retail sale of hardware, paints and glass (4752)","Base 2015=100","137.1"
"Retail Sales Index Volume Unadjusted","2024 February","Retail sale of furniture and lighting (4759)","Base 2015=100","199"
"Retail Sales Index Volume Unadjusted","2024 February","Bars (5630)","Base 2015=100","73.8"
"Retail Sales Index Volume Unadjusted","2024 February","All retail businesses","Base 2015=100","139.8"
"Retail Sales Index Volume Unadjusted","2024 February","Motor trades and automotive fuel (45,4730)","Base 2015=100","171.6"
"Retail Sales Index Volume Unadjusted","2024 February","All retail businesses, excluding motor trades and bars","Base 2015=100","125.2"
"Retail Sales Index Volume Unadjusted","2024 February","All retail businesses, excluding motor trades","Base 2015=100","121.9"
"Retail Sales Index Volume Unadjusted","2024 February","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","126.4"
"Retail Sales Index Volume Unadjusted","2024 February","Retail sale of food (4711,4721 to 4729)","Base 2015=100","126.9"
"Retail Sales Index Volume Unadjusted","2024 February","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","126.1"
"Retail Sales Index Volume Unadjusted","2024 February","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","101.2"
"Retail Sales Index Volume Unadjusted","2024 February","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","174.6"
"Retail Sales Index Volume Unadjusted","2024 February","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","185.2"
"Retail Sales Index Volume Unadjusted","2024 February","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","143.9"
"Retail Sales Index Volume Unadjusted","2024 February","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","96.3"
"Retail Sales Index Volume Unadjusted","2024 February","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","99.8"
"Retail Sales Index Volume Unadjusted","2024 February","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","70.3"
"Retail Sales Index Volume Unadjusted","2024 February","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","124.8"
"Retail Sales Index Volume Unadjusted","2024 March","Motor trades (45)","Base 2015=100","153"
"Retail Sales Index Volume Unadjusted","2024 March","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","127.2"
"Retail Sales Index Volume Unadjusted","2024 March","Department stores (4719)","Base 2015=100","94.5"
"Retail Sales Index Volume Unadjusted","2024 March","Retail sale of automotive fuel (4730)","Base 2015=100","100.1"
"Retail Sales Index Volume Unadjusted","2024 March","Retail sale of hardware, paints and glass (4752)","Base 2015=100","142.8"
"Retail Sales Index Volume Unadjusted","2024 March","Retail sale of furniture and lighting (4759)","Base 2015=100","172.7"
"Retail Sales Index Volume Unadjusted","2024 March","Bars (5630)","Base 2015=100","67.3"
"Retail Sales Index Volume Unadjusted","2024 March","All retail businesses","Base 2015=100","130.1"
"Retail Sales Index Volume Unadjusted","2024 March","Motor trades and automotive fuel (45,4730)","Base 2015=100","147.5"
"Retail Sales Index Volume Unadjusted","2024 March","All retail businesses, excluding motor trades and bars","Base 2015=100","123.4"
"Retail Sales Index Volume Unadjusted","2024 March","All retail businesses, excluding motor trades","Base 2015=100","119.8"
"Retail Sales Index Volume Unadjusted","2024 March","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","124.8"
"Retail Sales Index Volume Unadjusted","2024 March","Retail sale of food (4711,4721 to 4729)","Base 2015=100","122.8"
"Retail Sales Index Volume Unadjusted","2024 March","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","126.4"
"Retail Sales Index Volume Unadjusted","2024 March","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","88.4"
"Retail Sales Index Volume Unadjusted","2024 March","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","163.8"
"Retail Sales Index Volume Unadjusted","2024 March","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","171.6"
"Retail Sales Index Volume Unadjusted","2024 March","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","127.1"
"Retail Sales Index Volume Unadjusted","2024 March","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","101.3"
"Retail Sales Index Volume Unadjusted","2024 March","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","107.2"
"Retail Sales Index Volume Unadjusted","2024 March","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","57.4"
"Retail Sales Index Volume Unadjusted","2024 March","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","135.2"
"Retail Sales Index Volume Unadjusted","2024 April","Motor trades (45)","Base 2015=100","181.7"
"Retail Sales Index Volume Unadjusted","2024 April","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","129.5"
"Retail Sales Index Volume Unadjusted","2024 April","Department stores (4719)","Base 2015=100","72"
"Retail Sales Index Volume Unadjusted","2024 April","Retail sale of automotive fuel (4730)","Base 2015=100","100.3"
"Retail Sales Index Volume Unadjusted","2024 April","Retail sale of hardware, paints and glass (4752)","Base 2015=100","147.3"
"Retail Sales Index Volume Unadjusted","2024 April","Retail sale of furniture and lighting (4759)","Base 2015=100","181.5"
"Retail Sales Index Volume Unadjusted","2024 April","Bars (5630)","Base 2015=100","65.9"
"Retail Sales Index Volume Unadjusted","2024 April","All retail businesses","Base 2015=100","142"
"Retail Sales Index Volume Unadjusted","2024 April","Motor trades and automotive fuel (45,4730)","Base 2015=100","173.3"
"Retail Sales Index Volume Unadjusted","2024 April","All retail businesses, excluding motor trades and bars","Base 2015=100","128"
"Retail Sales Index Volume Unadjusted","2024 April","All retail businesses, excluding motor trades","Base 2015=100","124"
"Retail Sales Index Volume Unadjusted","2024 April","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","129.6"
"Retail Sales Index Volume Unadjusted","2024 April","Retail sale of food (4711,4721 to 4729)","Base 2015=100","127"
"Retail Sales Index Volume Unadjusted","2024 April","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","131.9"
"Retail Sales Index Volume Unadjusted","2024 April","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","107.2"
"Retail Sales Index Volume Unadjusted","2024 April","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","152.2"
"Retail Sales Index Volume Unadjusted","2024 April","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","142.9"
"Retail Sales Index Volume Unadjusted","2024 April","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","183.4"
"Retail Sales Index Volume Unadjusted","2024 April","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","94.3"
"Retail Sales Index Volume Unadjusted","2024 April","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","97.5"
"Retail Sales Index Volume Unadjusted","2024 April","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","70.5"
"Retail Sales Index Volume Unadjusted","2024 April","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","134.3"
"Retail Sales Index Volume Unadjusted","2024 May","Motor trades (45)","Base 2015=100","128.5"
"Retail Sales Index Volume Unadjusted","2024 May","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","128.4"
"Retail Sales Index Volume Unadjusted","2024 May","Department stores (4719)","Base 2015=100","78.4"
"Retail Sales Index Volume Unadjusted","2024 May","Retail sale of automotive fuel (4730)","Base 2015=100","99.7"
"Retail Sales Index Volume Unadjusted","2024 May","Retail sale of hardware, paints and glass (4752)","Base 2015=100","180.4"
"Retail Sales Index Volume Unadjusted","2024 May","Retail sale of furniture and lighting (4759)","Base 2015=100","135.9"
"Retail Sales Index Volume Unadjusted","2024 May","Bars (5630)","Base 2015=100","77.7"
"Retail Sales Index Volume Unadjusted","2024 May","All retail businesses","Base 2015=100","125.4"
"Retail Sales Index Volume Unadjusted","2024 May","Motor trades and automotive fuel (45,4730)","Base 2015=100","125.5"
"Retail Sales Index Volume Unadjusted","2024 May","All retail businesses, excluding motor trades and bars","Base 2015=100","127.2"
"Retail Sales Index Volume Unadjusted","2024 May","All retail businesses, excluding motor trades","Base 2015=100","124.1"
"Retail Sales Index Volume Unadjusted","2024 May","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","128.9"
"Retail Sales Index Volume Unadjusted","2024 May","Retail sale of food (4711,4721 to 4729)","Base 2015=100","125.9"
"Retail Sales Index Volume Unadjusted","2024 May","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","131.4"
"Retail Sales Index Volume Unadjusted","2024 May","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","105.9"
"Retail Sales Index Volume Unadjusted","2024 May","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","164.4"
"Retail Sales Index Volume Unadjusted","2024 May","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","166.7"
"Retail Sales Index Volume Unadjusted","2024 May","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","145.1"
"Retail Sales Index Volume Unadjusted","2024 May","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","105.3"
"Retail Sales Index Volume Unadjusted","2024 May","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","109.9"
"Retail Sales Index Volume Unadjusted","2024 May","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","71.4"
"Retail Sales Index Volume Unadjusted","2024 May","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","142.9"
"Retail Sales Index Volume Unadjusted","2024 June","Motor trades (45)","Base 2015=100","98.8"
"Retail Sales Index Volume Unadjusted","2024 June","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","123.3"
"Retail Sales Index Volume Unadjusted","2024 June","Department stores (4719)","Base 2015=100","100.9"
"Retail Sales Index Volume Unadjusted","2024 June","Retail sale of automotive fuel (4730)","Base 2015=100","97.1"
"Retail Sales Index Volume Unadjusted","2024 June","Retail sale of hardware, paints and glass (4752)","Base 2015=100","195.5"
"Retail Sales Index Volume Unadjusted","2024 June","Retail sale of furniture and lighting (4759)","Base 2015=100","186.9"
"Retail Sales Index Volume Unadjusted","2024 June","Bars (5630)","Base 2015=100","82.3"
"Retail Sales Index Volume Unadjusted","2024 June","All retail businesses","Base 2015=100","116.3"
"Retail Sales Index Volume Unadjusted","2024 June","Motor trades and automotive fuel (45,4730)","Base 2015=100","98.6"
"Retail Sales Index Volume Unadjusted","2024 June","All retail businesses, excluding motor trades and bars","Base 2015=100","127.1"
"Retail Sales Index Volume Unadjusted","2024 June","All retail businesses, excluding motor trades","Base 2015=100","124.2"
"Retail Sales Index Volume Unadjusted","2024 June","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","128.9"
"Retail Sales Index Volume Unadjusted","2024 June","Retail sale of food (4711,4721 to 4729)","Base 2015=100","121.4"
"Retail Sales Index Volume Unadjusted","2024 June","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","135.1"
"Retail Sales Index Volume Unadjusted","2024 June","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","105.9"
"Retail Sales Index Volume Unadjusted","2024 June","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","170.7"
"Retail Sales Index Volume Unadjusted","2024 June","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","150.2"
"Retail Sales Index Volume Unadjusted","2024 June","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","124"
"Retail Sales Index Volume Unadjusted","2024 June","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","113"
"Retail Sales Index Volume Unadjusted","2024 June","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","118.6"
"Retail Sales Index Volume Unadjusted","2024 June","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","71.9"
"Retail Sales Index Volume Unadjusted","2024 June","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","156.6"
"Retail Sales Index Value Adjusted","2015 January","Motor trades (45)","Base 2015=100","96.5"
"Retail Sales Index Value Adjusted","2015 January","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","97.6"
"Retail Sales Index Value Adjusted","2015 January","Department stores (4719)","Base 2015=100","97.5"
"Retail Sales Index Value Adjusted","2015 January","Retail sale of automotive fuel (4730)","Base 2015=100","92"
"Retail Sales Index Value Adjusted","2015 January","Retail sale of hardware, paints and glass (4752)","Base 2015=100","98.3"
"Retail Sales Index Value Adjusted","2015 January","Retail sale of furniture and lighting (4759)","Base 2015=100","92.9"
"Retail Sales Index Value Adjusted","2015 January","Bars (5630)","Base 2015=100","94.5"
"Retail Sales Index Value Adjusted","2015 January","All retail businesses","Base 2015=100","97"
"Retail Sales Index Value Adjusted","2015 January","Motor trades and automotive fuel (45,4730)","Base 2015=100","96.4"
"Retail Sales Index Value Adjusted","2015 January","All retail businesses, excluding motor trades and bars","Base 2015=100","96.5"
"Retail Sales Index Value Adjusted","2015 January","All retail businesses, excluding motor trades","Base 2015=100","96.5"
"Retail Sales Index Value Adjusted","2015 January","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","96.6"
"Retail Sales Index Value Adjusted","2015 January","Retail sale of food (4711,4721 to 4729)","Base 2015=100","97.8"
"Retail Sales Index Value Adjusted","2015 January","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","96.1"
"Retail Sales Index Value Adjusted","2015 January","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","98"
"Retail Sales Index Value Adjusted","2015 January","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","94.2"
"Retail Sales Index Value Adjusted","2015 January","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","92"
"Retail Sales Index Value Adjusted","2015 January","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","95.1"
"Retail Sales Index Value Adjusted","2015 January","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","95.4"
"Retail Sales Index Value Adjusted","2015 January","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","95.1"
"Retail Sales Index Value Adjusted","2015 January","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","94.3"
"Retail Sales Index Value Adjusted","2015 January","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","94"
"Retail Sales Index Value Adjusted","2015 February","Motor trades (45)","Base 2015=100","94.9"
"Retail Sales Index Value Adjusted","2015 February","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","95.1"
"Retail Sales Index Value Adjusted","2015 February","Department stores (4719)","Base 2015=100","95.1"
"Retail Sales Index Value Adjusted","2015 February","Retail sale of automotive fuel (4730)","Base 2015=100","95.7"
"Retail Sales Index Value Adjusted","2015 February","Retail sale of hardware, paints and glass (4752)","Base 2015=100","99"
"Retail Sales Index Value Adjusted","2015 February","Retail sale of furniture and lighting (4759)","Base 2015=100","101.5"
"Retail Sales Index Value Adjusted","2015 February","Bars (5630)","Base 2015=100","95.5"
"Retail Sales Index Value Adjusted","2015 February","All retail businesses","Base 2015=100","96.3"
"Retail Sales Index Value Adjusted","2015 February","Motor trades and automotive fuel (45,4730)","Base 2015=100","92.8"
"Retail Sales Index Value Adjusted","2015 February","All retail businesses, excluding motor trades and bars","Base 2015=100","97"
"Retail Sales Index Value Adjusted","2015 February","All retail businesses, excluding motor trades","Base 2015=100","96.9"
"Retail Sales Index Value Adjusted","2015 February","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","97"
"Retail Sales Index Value Adjusted","2015 February","Retail sale of food (4711,4721 to 4729)","Base 2015=100","95.3"
"Retail Sales Index Value Adjusted","2015 February","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","98.1"
"Retail Sales Index Value Adjusted","2015 February","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","98.7"
"Retail Sales Index Value Adjusted","2015 February","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","98.9"
"Retail Sales Index Value Adjusted","2015 February","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","94.1"
"Retail Sales Index Value Adjusted","2015 February","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","94.6"
"Retail Sales Index Value Adjusted","2015 February","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","100.9"
"Retail Sales Index Value Adjusted","2015 February","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","99.9"
"Retail Sales Index Value Adjusted","2015 February","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","105.2"
"Retail Sales Index Value Adjusted","2015 February","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","97.5"
"Retail Sales Index Value Adjusted","2015 March","Motor trades (45)","Base 2015=100","113.3"
"Retail Sales Index Value Adjusted","2015 March","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","97"
"Retail Sales Index Value Adjusted","2015 March","Department stores (4719)","Base 2015=100","91.7"
"Retail Sales Index Value Adjusted","2015 March","Retail sale of automotive fuel (4730)","Base 2015=100","102.7"
