"Statistic Label","Month","NACE Group","UNIT","VALUE"
"Retail Sales Index Value Unadjusted","2015 May","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","90.9"
"Retail Sales Index Value Unadjusted","2015 June","Motor trades (45)","Base 2015=100","71.7"
"Retail Sales Index Value Unadjusted","2015 June","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","98"
"Retail Sales Index Value Unadjusted","2015 June","Department stores (4719)","Base 2015=100","98.4"
"Retail Sales Index Value Unadjusted","2015 June","Retail sale of automotive fuel (4730)","Base 2015=100","111.3"
"Retail Sales Index Value Unadjusted","2015 June","Retail sale of hardware, paints and glass (4752)","Base 2015=100","111.4"
"Retail Sales Index Value Unadjusted","2015 June","Retail sale of furniture and lighting (4759)","Base 2015=100","97.7"
"Retail Sales Index Value Unadjusted","2015 June","Bars (5630)","Base 2015=100","97.1"
"Retail Sales Index Value Unadjusted","2015 June","All retail businesses","Base 2015=100","90.3"
"Retail Sales Index Value Unadjusted","2015 June","Motor trades and automotive fuel (45,4730)","Base 2015=100","77.5"
"Retail Sales Index Value Unadjusted","2015 June","All retail businesses, excluding motor trades and bars","Base 2015=100","97.3"
"Retail Sales Index Value Unadjusted","2015 June","All retail businesses, excluding motor trades","Base 2015=100","97.3"
"Retail Sales Index Value Unadjusted","2015 June","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","96.3"
"Retail Sales Index Value Unadjusted","2015 June","Retail sale of food (4711,4721 to 4729)","Base 2015=100","97.8"
"Retail Sales Index Value Unadjusted","2015 June","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","94.9"
"Retail Sales Index Value Unadjusted","2015 June","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","96"
"Retail Sales Index Value Unadjusted","2015 June","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","98"
"Retail Sales Index Value Unadjusted","2015 June","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","87.8"
"Retail Sales Index Value Unadjusted","2015 June","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","100.2"
"Retail Sales Index Value Unadjusted","2015 June","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","80.8"
"Retail Sales Index Value Unadjusted","2015 June","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","77.1"
